L 43, -1324, 760,  43, -1324, 760,  0, 0, 0
L 43, -1324, 760,  50, -1336, 727,  0, 0, 0
L 50, -1336, 727,  57, -1353, 711,  0, 0, 0
L 57, -1353, 711,  57, -1353, 711,  0, 0, 0
L 57, -1353, 711,  55, -1378, 668,  0, 0, 0
L 55, -1378, 668,  55, -1378, 668,  0, 0, 0
L 55, -1378, 668,  48, -1389, 649,  0, 0, 0
L 48, -1389, 649,  39, -1398, 629,  0, 0, 0
L 39, -1398, 629,  30, -1403, 613,  0, 0, 0
L 30, -1403, 613,  30, -1403, 613,  0, 0, 0
L 30, -1403, 613,  19, -1406, 599,  0, 0, 0
L 19, -1406, 599,  6, -1407, 576,  0, 0, 0
L -29, -1406, 522,  -29, -1406, 522,  0, 0, 0
L -29, -1406, 522,  -26, -1401, 531,  0, 0, 0
L -26, -1401, 531,  -17, -1391, 550,  0, 0, 0
L -17, -1391, 550,  -6, -1384, 566,  0, 0, 0
L -6, -1384, 566,  -6, -1384, 566,  0, 0, 0
L -6, -1384, 566,  6, -1381, 580,  0, 0, 0
L 6, -1381, 580,  23, -1378, 614,  0, 0, 0
L 23, -1378, 614,  31, -1367, 667,  0, 0, 0
L 31, -1367, 667,  31, -1367, 667,  0, 0, 0
L 31, -1367, 667,  32, -1358, 685,  0, 0, 0
L 32, -1358, 685,  32, -1347, 666,  0, 0, 0
L 32, -1347, 666,  34, -1341, 663,  0, 0, 0
L 34, -1341, 663,  27, -1336, 709,  0, 0, 0
L 13, -1396, 1420,  13, -1396, 1420,  0, 0, 0
L 13, -1396, 1420,  25, -1396, 1458,  0, 0, 0
L 25, -1396, 1458,  36, -1393, 1448,  0, 0, 0
L 36, -1393, 1448,  36, -1393, 1448,  0, 0, 0
L 36, -1393, 1448,  74, -1374, 1764,  0, 0, 0
L 74, -1374, 1764,  73, -1351, 1833,  0, 0, 0
L 73, -1351, 1833,  71, -1343, 1753,  0, 0, 0
L 71, -1343, 1753,  68, -1330, 1509,  0, 0, 0
L 68, -1330, 1509,  63, -1309, 1309,  0, 0, 0
L 63, -1309, 1309,  59, -1295, 1284,  0, 0, 0
L 59, -1295, 1284,  55, -1265, 1252,  0, 0, 0
L 55, -1265, 1252,  65, -1239, 1130,  0, 0, 0
L 65, -1239, 1130,  94, -1262, 1128,  0, 0, 0
L 94, -1262, 1128,  96, -1261, 1120,  0, 0, 0
L 96, -1261, 1120,  106, -1259, 1089,  0, 0, 0
L 106, -1259, 1089,  110, -1258, 1073,  0, 0, 0
L 110, -1258, 1073,  110, -1258, 1073,  0, 0, 0
L 110, -1258, 1073,  130, -1254, 991,  0, 0, 0
L 130, -1254, 991,  154, -1249, 898,  0, 0, 0
L 154, -1249, 898,  168, -1246, 813,  0, 0, 0
L 168, -1246, 813,  193, -1250, 677,  0, 0, 0
L 193, -1250, 677,  266, -1270, 959,  0, 0, 0
L 266, -1270, 959,  266, -1270, 959,  0, 0, 0
L 266, -1270, 959,  278, -1273, 993,  0, 0, 0
L 278, -1273, 993,  290, -1275, 962,  0, 0, 0
L 290, -1275, 962,  305, -1279, 827,  0, 0, 0
L 305, -1279, 827,  311, -1280, 747,  0, 0, 0
L 311, -1280, 747,  319, -1282, 672,  0, 0, 0
L 319, -1282, 672,  343, -1287, 572,  0, 0, 0
L 343, -1287, 572,  343, -1287, 572,  0, 0, 0
L 343, -1287, 572,  366, -1315, 993,  0, 0, 0
L 366, -1315, 993,  373, -1324, 1023,  0, 0, 0
L 373, -1324, 1023,  387, -1340, 1062,  0, 0, 0
L 387, -1340, 1062,  413, -1356, 1398,  0, 0, 0
L 413, -1356, 1398,  413, -1356, 1398,  0, 0, 0
L 413, -1356, 1398,  421, -1361, 1477,  0, 0, 0
L 421, -1361, 1477,  432, -1368, 1465,  0, 0, 0
L 432, -1368, 1465,  463, -1388, 1629,  0, 0, 0
L 463, -1388, 1629,  472, -1393, 1576,  0, 0, 0
L 472, -1393, 1576,  476, -1396, 1499,  0, 0, 0
L 476, -1396, 1499,  478, -1396, 1459,  0, 0, 0
L 478, -1396, 1459,  481, -1397, 1410,  0, 0, 0
L 481, -1397, 1410,  495, -1398, 1149,  0, 0, 0
L 495, -1398, 1149,  504, -1398, 1022,  0, 0, 0
L 504, -1398, 1022,  512, -1399, 927,  0, 0, 0
L 512, -1399, 927,  518, -1399, 870,  0, 0, 0
L 518, -1399, 870,  525, -1400, 818,  0, 0, 0
L 525, -1400, 818,  532, -1400, 773,  0, 0, 0
L 532, -1400, 773,  532, -1400, 773,  0, 0, 0
L 532, -1400, 773,  549, -1401, 657,  0, 0, 0
L 549, -1401, 657,  549, -1401, 657,  0, 0, 0
L 549, -1401, 657,  570, -1399, 540,  0, 0, 0
L 570, -1399, 540,  579, -1397, 517,  0, 0, 0
L 579, -1397, 517,  600, -1403, 523,  0, 0, 0
L 600, -1403, 523,  611, -1400, 563,  0, 0, 0
L 611, -1400, 563,  617, -1399, 578,  0, 0, 0
L 617, -1399, 578,  635, -1394, 663,  0, 0, 0
L 635, -1394, 663,  646, -1391, 748,  0, 0, 0
L 646, -1391, 748,  674, -1386, 1104,  0, 0, 0
L 674, -1386, 1104,  696, -1384, 1255,  0, 0, 0
